Year,Series,Territorio,Units,Progress,Value
2010,GEN_REGIOG,ES211,PT,60.0,40.0
2025,GEN_REGIOG,ES212,PT,60.0,60.0
2024,GEN_REGIOG,ES212,PT,70.0,70.0
2023,GEN_REGIOG,ES212,PT,70.0,70.0
2022,GEN_REGIOG,ES212,PT,50.0,50.0
2021,GEN_REGIOG,ES212,PT,50.0,50.0
2020,GEN_REGIOG,ES212,PT,50.0,50.0
2019,GEN_REGIOG,ES212,PT,50.0,50.0
2018,GEN_REGIOG,ES212,PT,55.6,44.4
2017,GEN_REGIOG,ES212,PT,55.6,44.4
2016,GEN_REGIOG,ES212,PT,55.6,44.4
2015,GEN_REGIOG,ES212,PT,55.6,44.4
2014,GEN_REGIOG,ES212,PT,62.5,37.5
2013,GEN_REGIOG,ES212,PT,62.5,37.5
2012,GEN_REGIOG,ES212,PT,62.5,37.5
2011,GEN_REGIOG,ES212,PT,62.5,37.5
2010,GEN_REGIOG,ES212,PT,63.6,36.4
2025,GEN_REGIOG,ES213,PT,80.0,80.0
2024,GEN_REGIOG,ES213,PT,80.0,80.0
2023,GEN_REGIOG,ES213,PT,80.0,80.0
2022,GEN_REGIOG,ES213,PT,50.0,50.0
2021,GEN_REGIOG,ES213,PT,50.0,50.0
2020,GEN_REGIOG,ES213,PT,50.0,50.0
2019,GEN_REGIOG,ES213,PT,50.0,50.0
2018,GEN_REGIOG,ES213,PT,55.6,55.6
2017,GEN_REGIOG,ES213,PT,55.6,55.6
2016,GEN_REGIOG,ES213,PT,55.6,55.6
2015,GEN_REGIOG,ES213,PT,55.6,55.6
2014,GEN_REGIOG,ES213,PT,60.0,40.0
2013,GEN_REGIOG,ES213,PT,60.0,40.0
2012,GEN_REGIOG,ES213,PT,60.0,40.0
2011,GEN_REGIOG,ES213,PT,60.0,40.0
2010,GEN_REGIOG,ES213,PT,66.7,33.3
2025,GEN_LOCP,,PT,53.2,46.8
2024,GEN_LOCP,,PT,53.5,46.5
2023,GEN_LOCP,,PT,51.7,48.3
2022,GEN_LOCP,,PT,52.5,47.5
2021,GEN_LOCP,,PT,52.5,47.5
2020,GEN_LOCP,,PT,52.2,47.8
2019,GEN_LOCP,,PT,52.2,47.8
2018,GEN_LOCP,,PT,58.6,41.4
2017,GEN_LOCP,,PT,58.6,41.4
2016,GEN_LOCP,,PT,58.6,41.4
2015,GEN_LOCP,,PT,58.6,41.4
2014,GEN_LOCP,,PT,59.7,40.3
2013,GEN_LOCP,,PT,59.5,40.5
2012,GEN_LOCP,,PT,59.6,40.4
2011,GEN_LOCP,,PT,59.6,40.4
2010,GEN_LOCP,,PT,72.2,27.8
2024,GEN_LOCG,,PT,65.7,34.3
2023,GEN_LOCG,,PT,66.9,33.1
2022,GEN_LOCG,,PT,69.7,30.3
2021,GEN_LOCG,,PT,69.7,30.3
2020,GEN_LOCG,,PT,70.8,29.2
2019,GEN_LOCG,,PT,70.8,29.2
2018,GEN_LOCG,,PT,74.8,25.2
2017,GEN_LOCG,,PT,74.8,25.2
2016,GEN_LOCG,,PT,74.8,25.2
2015,GEN_LOCG,,PT,74.8,25.2
2014,GEN_LOCG,,PT,76.9,23.1
2013,GEN_LOCG,,PT,77.7,22.3
2012,GEN_LOCG,,PT,78.0,22.0
2011,GEN_LOCG,,PT,78.0,22.0
2010,GEN_LOCG,,PT,80.1,19.9
2025,GEN_LOCG,,PT,64.3,35.7
