source_key,source_label,organisation,url,indicator_id
FUENTE.Euskadi_Industria_gei,Inventario de gases de efecto invernadero,"Departamento de Industria, Transición Energética y Sostenibilidad",https://www.euskadi.eus/informacion/inventario-de-gases-de-efecto-invernadero-090205/web01-a2ingair/es/,9-4-1
FUENTE.Euskadi_Industria_gei,Inventario de gases de efecto invernadero,"Departamento de Industria, Transición Energética y Sostenibilidad",https://www.euskadi.eus/informacion/inventario-de-gases-de-efecto-invernadero-090205/web01-a2ingair/es/,OCECA-9-4-1-5
FUENTE.Euskadi_Industria_gei,Inventario de gases de efecto invernadero,"Departamento de Industria, Transición Energética y Sostenibilidad",https://www.euskadi.eus/informacion/inventario-de-gases-de-efecto-invernadero-090205/web01-a2ingair/es/,OCECA-9-4-1-6
FUENTE.KBA_kba,Key Biodiversity Areas,Secretariado de Key Biodiversity Areas,https://www.keybiodiversityareas.org/sites/search,14-5-1
FUENTE.KBA_kba,Key Biodiversity Areas,Secretariado de Key Biodiversity Areas,https://www.keybiodiversityareas.org/sites/search,15-1-2
FUENTE.KBA_kba,Key Biodiversity Areas,Secretariado de Key Biodiversity Areas,https://www.keybiodiversityareas.org/sites/search,15-4-1
FUENTE.GE_Hacienda_lpca,Liquidación de los presupuestos de las comunidades autónomas,Ministerio de Hacienda,https://www.hacienda.gob.es/es-ES/Areas%20Tematicas/Financiacion%20Autonomica/Paginas/DatosPresupuestarios.aspx,8-b-1
FUENTE.EEA_muertes,Muertes prematuras por exposición a partículas finas en Europa,Agencia Europea del Medio Ambiente,https://www.eea.europa.eu/en/analysis/indicators/health-impacts-of-exposure-to/premature-deaths-attributable-to-exposure,3-9-1
FUENTE.CIS_oppf,Opinión pública y política fiscal,Centro de Investigaciones Sociológicas (CIS),https://www.cis.es/catalogo-estudios/avance-resultados,16-6-2
FUENTE.OMS,Organización Mundial de la Salud,Organización Mundial de la Salud,https://www.who.int/data/gho/data/themes/air-pollution/household-air-pollution,7-1-2
FUENTE.Eustat_cpibmun,PIB Municipal,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_489/opt_0/temas.html,2-a-1
FUENTE.Euskadi_gazte_emantzipazioa,Plan Joven de Euskadi y Estrategia vasca 2030 para favorecer la emancipación juvenil,"Departamento de Bienestar, Juventud y Reto Demográfico",https://www.euskadi.eus/planes-proyectos-juventud/web01-a2gazter/es/,8-b-1
FUENTE.Euskadi_enplegua,Plan de Empleo de Euskadi y Estrategia Vasca de Empleo,Departamento de Justicia y Derechos Humanos,https://www.euskadi.eus/planes-informes-planificacion-innovacion-empleo/web01-s2enple/es/,8-b-1
FUENTE.elankidetza_ataria,Portal de la cooperación pública vasca,Agencia Vasca de Cooperación y Solidaridad,https://euskalankidetza.hegoa.ehu.eus/es/site,1-a-1
FUENTE.elankidetza_ataria,Portal de la cooperación pública vasca,Agencia Vasca de Cooperación y Solidaridad,https://euskalankidetza.hegoa.ehu.eus/es/site,2-a-2
FUENTE.elankidetza_ataria,Portal de la cooperación pública vasca,Agencia Vasca de Cooperación y Solidaridad,https://euskalankidetza.hegoa.ehu.eus/es/site,3-b-2
FUENTE.OCDE_piaac,Programa de Evaluación de Competencias de Adultos (PIAAC),Organización para la Cooperación y Desarrollo Económico (OCDE),https://www.oecd.org/en/about/programmes/piaac.html,4-6-1
FUENTE.OCDE_pisa,Programa para la Evaluación Internacional de los Estudiantes (PISA),Organización para la Cooperación y Desarrollo Económico (OCDE),https://www.oecd.org/en/about/programmes/pisa.html,4-1-1
FUENTE.GE_Agricultura_recan,Red contable agraria nacional,"Ministerio de Agricultura, Pesca y Alimentación",https://www.mapa.gob.es/es/estadistica/temas/estadisticas-agrarias/economia/red-contable-recan/,2-4-1
FUENTE.Euskadi_Alimentacion_ricav,Red de Información Contable Agraria Vasca (RICAV),"Departamento de Alimentación, Desarrollo Rural, Agricultura y Pesca",https://www.euskadi.eus/ricav-agroganaderia/web01-a2estadi/es/,2-3-1
FUENTE.Euskadi_Alimentacion_ricav,Red de Información Contable Agraria Vasca (RICAV),"Departamento de Alimentación, Desarrollo Rural, Agricultura y Pesca",https://www.euskadi.eus/ricav-agroganaderia/web01-a2estadi/es/,2-3-2
FUENTE.GE_Economia_rie,Registro de inversiones exteriores,"Ministerio de Economía, Comercio y Empresa",https://comercio.gob.es/es-es/inversiones_exteriores/Paginas/default.aspx,17-3-1
FUENTE.Euskadi_Salud_ekuis,Sistema de Información de las Aguas de Consumo (EKUIS),Gobierno Vasco,https://beta.euskadi.eus/informacion/el-abastecimiento-de-agua-en-la-capv/web01-a3aguas/es/,6-1-1
FUENTE.Euskadi_Salud_ritox,Sistema de información sobre adicciones,Departamento de Salud,https://www.euskadi.eus/informacion/sistema-de-informacion-de-toxicomanias/web01-a3regepi/es/,3-5-1
FUENTE.CNMC_tsa,Telecomunicaciones y sector audiovisual,Comisión Nacional de los Mercados y la Competencia (CNMC),https://data.cnmc.es/telecomunicaciones-y-sector-audiovisual,17-6-1
FUENTE.GE_Interior_tesh,Trata y explotación de seres humanos en España. Balance estadístico,Ministerio del Interior,https://www.interior.gob.es/opencms/es/servicios-al-ciudadano/trata/situacion-en-espana/,16-2-2
FUENTE.GE_Transicion_tratar,Tratamiento de las aguas residuales urbanas,Ministerio para la Transición Ecológica y el Reto Demográfico,https://www.miteco.gob.es/es/agua/temas/saneamiento-depuracion.html,6-3-1
FUENTE.Eustat_iig,Índice de Igualdad de Género,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_515/opt_0/temas.html,16-7-1
FUENTE.Eustat_iig,Índice de Igualdad de Género,Eustat-Instituto Vasco de Estadística,https://es.eustat.eus/estadisticas/tema_515/opt_0/temas.html,5-5-1
FUENTE.INE_ipc,Índice de precios de consumo,Instituto Nacional de Estadística (INE),https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736176802&menu=ultiDatos&idp=1254735976607,1-5-2
FUENTE.INE_ipc,Índice de precios de consumo,Instituto Nacional de Estadística (INE),https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736176802&menu=ultiDatos&idp=1254735976607,11-5-2
FUENTE.INE_ipc,Índice de precios de consumo,Instituto Nacional de Estadística (INE),https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736176802&menu=ultiDatos&idp=1254735976607,17-13-1
FUENTE.INE_ipc,Índice de precios de consumo,Instituto Nacional de Estadística (INE),https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736176802&menu=ultiDatos&idp=1254735976607,2-c-1
