Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Progress,Value
2010,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,103.28,103.28
2016,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,106.37,106.37
2017,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,115.21,115.21
2022,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,125.08,125.08
2015,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,104.92,95.08
2021,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,116.02,116.02
2018,EU_XPD_LOCALGBPC,,,ES48912,PT,ES48912,125.82,125.82
2010,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,102.75,97.25
2016,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,103.37,103.37
2020,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,134.72,65.28
2013,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,120.88,79.12
2021,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,117.75,117.75
2012,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,113.79,113.79
2019,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,113.46,86.54
2022,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,100.42,100.42
2017,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,157.72,42.28
2023,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,128.59,71.41
2018,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,129.31,129.31
2015,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,113.51,113.51
2014,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,101.83,101.83
2011,EU_XPD_LOCALGBPC,,,ES20906,PT,ES20906,105.24,105.24
2020,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,100.52,99.48
2010,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,156.0,156.0
2011,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,105.01,94.99
2014,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,113.05,86.95
2016,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,104.07,95.93
2015,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,105.45,105.45
2018,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,148.61,148.61
2022,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,115.0,115.0
2021,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,146.41,146.41
2023,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,197.9,197.9
2013,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,108.91,91.09
2017,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,151.2,151.2
2012,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,123.95,123.95
2019,EU_XPD_LOCALGBPC,,,ES20007,PT,ES20007,118.58,118.58
2012,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,101.91,101.91
2011,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,145.65,145.65
