Year,Series,Sex,Province,Units,Value
2019,Number of premature deaths due to exposure to fine particulate matter,Female,Gipuzkoa,Number,81.0
2023,Number of premature deaths due to exposure to fine particulate matter,Female,Gipuzkoa,Number,64.0
2022,Number of premature deaths due to exposure to fine particulate matter,Female,Gipuzkoa,Number,93.0
2017,Number of premature deaths due to exposure to fine particulate matter,Male,,Number,296.0
2019,Number of premature deaths due to exposure to fine particulate matter,Male,,Number,319.0
2018,Number of premature deaths due to exposure to fine particulate matter,Male,,Number,417.0
2015,Number of premature deaths due to exposure to fine particulate matter,Male,,Number,410.0
2022,Number of premature deaths due to exposure to fine particulate matter,Male,,Number,373.0
2020,Number of premature deaths due to exposure to fine particulate matter,Male,,Number,303.0
2021,Number of premature deaths due to exposure to fine particulate matter,Male,,Number,308.0
2016,Number of premature deaths due to exposure to fine particulate matter,Male,,Number,281.0
2023,Number of premature deaths due to exposure to fine particulate matter,Male,,Number,284.0
2021,Number of premature deaths due to exposure to fine particulate matter,Male,Araba/Álava,Number,40.0
2019,Number of premature deaths due to exposure to fine particulate matter,Male,Araba/Álava,Number,45.0
2023,Number of premature deaths due to exposure to fine particulate matter,Male,Araba/Álava,Number,36.0
2022,Number of premature deaths due to exposure to fine particulate matter,Male,Araba/Álava,Number,54.0
2016,Number of premature deaths due to exposure to fine particulate matter,Male,Araba/Álava,Number,40.0
2020,Number of premature deaths due to exposure to fine particulate matter,Male,Araba/Álava,Number,45.0
2018,Number of premature deaths due to exposure to fine particulate matter,Male,Araba/Álava,Number,59.0
2017,Number of premature deaths due to exposure to fine particulate matter,Male,Araba/Álava,Number,39.0
2015,Number of premature deaths due to exposure to fine particulate matter,Male,Araba/Álava,Number,57.0
2018,Number of premature deaths due to exposure to fine particulate matter,Male,Bizkaia,Number,244.0
2017,Number of premature deaths due to exposure to fine particulate matter,Male,Bizkaia,Number,188.0
2021,Number of premature deaths due to exposure to fine particulate matter,Male,Bizkaia,Number,195.0
2015,Number of premature deaths due to exposure to fine particulate matter,Male,Bizkaia,Number,246.0
2016,Number of premature deaths due to exposure to fine particulate matter,Male,Bizkaia,Number,179.0
2022,Number of premature deaths due to exposure to fine particulate matter,Male,Bizkaia,Number,227.0
2020,Number of premature deaths due to exposure to fine particulate matter,Male,Bizkaia,Number,191.0
2023,Number of premature deaths due to exposure to fine particulate matter,Male,Bizkaia,Number,183.0
2019,Number of premature deaths due to exposure to fine particulate matter,Male,Bizkaia,Number,191.0
2016,Number of premature deaths due to exposure to fine particulate matter,Male,Gipuzkoa,Number,61.0
2017,Number of premature deaths due to exposure to fine particulate matter,Male,Gipuzkoa,Number,67.0
2019,Number of premature deaths due to exposure to fine particulate matter,Male,Gipuzkoa,Number,82.0
2018,Number of premature deaths due to exposure to fine particulate matter,Male,Gipuzkoa,Number,114.0
2023,Number of premature deaths due to exposure to fine particulate matter,Male,Gipuzkoa,Number,64.0
2020,Number of premature deaths due to exposure to fine particulate matter,Male,Gipuzkoa,Number,67.0
2015,Number of premature deaths due to exposure to fine particulate matter,Male,Gipuzkoa,Number,105.0
2021,Number of premature deaths due to exposure to fine particulate matter,Male,Gipuzkoa,Number,72.0
2022,Number of premature deaths due to exposure to fine particulate matter,Male,Gipuzkoa,Number,92.0
