Year,Series,Sexo,Territorio histórico,Units,Value
2022,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Araba/Álava,Por 100.000,16.0
2018,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Araba/Álava,Por 100.000,17.9
2015,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Araba/Álava,Por 100.000,17.6
2023,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Araba/Álava,Por 100.000,10.6
2019,Número de muertes prematuras por exposición a partículas finas,Hombre,Araba/Álava,Número,45.0
2021,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Araba/Álava,Por 100.000,11.9
2023,Número de muertes prematuras por exposición a partículas finas,Hombre,Araba/Álava,Número,36.0
2016,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Araba/Álava,Por 100.000,12.3
2017,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Araba/Álava,Por 100.000,11.9
2019,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Araba/Álava,Por 100.000,13.6
2020,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Araba/Álava,Por 100.000,13.4
2022,Número de muertes prematuras por exposición a partículas finas,Hombre,Araba/Álava,Número,54.0
2016,Número de muertes prematuras por exposición a partículas finas,Hombre,Araba/Álava,Número,40.0
2020,Número de muertes prematuras por exposición a partículas finas,Hombre,Araba/Álava,Número,45.0
2021,Número de muertes prematuras por exposición a partículas finas,Hombre,Araba/Álava,Número,40.0
2018,Número de muertes prematuras por exposición a partículas finas,Hombre,Araba/Álava,Número,59.0
2017,Número de muertes prematuras por exposición a partículas finas,Hombre,Araba/Álava,Número,39.0
2015,Número de muertes prematuras por exposición a partículas finas,Hombre,Araba/Álava,Número,57.0
2021,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Bizkaia,Por 100.000,19.0
2018,Número de muertes prematuras por exposición a partículas finas,Hombre,Bizkaia,Número,244.0
2017,Número de muertes prematuras por exposición a partículas finas,Hombre,Bizkaia,Número,188.0
2017,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Bizkaia,Por 100.000,18.0
2021,Número de muertes prematuras por exposición a partículas finas,Hombre,Bizkaia,Número,195.0
2015,Número de muertes prematuras por exposición a partículas finas,Hombre,Bizkaia,Número,246.0
2015,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Bizkaia,Por 100.000,23.0
2016,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Bizkaia,Por 100.000,16.9
2020,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Bizkaia,Por 100.000,18.5
2022,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Bizkaia,Por 100.000,22.1
2023,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Bizkaia,Por 100.000,17.6
2019,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Bizkaia,Por 100.000,18.5
2016,Número de muertes prematuras por exposición a partículas finas,Hombre,Bizkaia,Número,179.0
2018,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Bizkaia,Por 100.000,23.5
2022,Número de muertes prematuras por exposición a partículas finas,Hombre,Bizkaia,Número,227.0
2020,Número de muertes prematuras por exposición a partículas finas,Hombre,Bizkaia,Número,191.0
2023,Número de muertes prematuras por exposición a partículas finas,Hombre,Bizkaia,Número,183.0
2019,Número de muertes prematuras por exposición a partículas finas,Hombre,Bizkaia,Número,191.0
2023,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Gipuzkoa,Por 100.000,10.2
2021,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Gipuzkoa,Por 100.000,11.6
2016,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Gipuzkoa,Por 100.000,9.5
2016,Número de muertes prematuras por exposición a partículas finas,Hombre,Gipuzkoa,Número,61.0
2017,Número de muertes prematuras por exposición a partículas finas,Hombre,Gipuzkoa,Número,67.0
2019,Número de muertes prematuras por exposición a partículas finas,Hombre,Gipuzkoa,Número,82.0
2018,Número de muertes prematuras por exposición a partículas finas,Hombre,Gipuzkoa,Número,114.0
2023,Número de muertes prematuras por exposición a partículas finas,Hombre,Gipuzkoa,Número,64.0
2020,Número de muertes prematuras por exposición a partículas finas,Hombre,Gipuzkoa,Número,67.0
2015,Número de muertes prematuras por exposición a partículas finas,Hombre,Gipuzkoa,Número,105.0
2021,Número de muertes prematuras por exposición a partículas finas,Hombre,Gipuzkoa,Número,72.0
2020,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Gipuzkoa,Por 100.000,10.8
2015,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Gipuzkoa,Por 100.000,16.1
2017,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Gipuzkoa,Por 100.000,10.5
2018,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Gipuzkoa,Por 100.000,18.1
2022,Número de muertes prematuras por exposición a partículas finas,Hombre,Gipuzkoa,Número,92.0
2019,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Gipuzkoa,Por 100.000,13.1
2022,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,Hombre,Gipuzkoa,Por 100.000,14.8
