Year,Series,Institucion,Territorio,Units,Value,Progress
2019,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.41,1.41
2017,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.4,1.4
2020,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.32,1.32
2018,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.31,1.31
2015,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.46,1.46
2013,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.37,1.37
2014,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.37,1.37
2011,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.5,1.5
2024,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.61,1.61
2012,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.5,1.5
2010,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.61,1.61
2022,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.45,1.45
2023,SG_DMK_PSRVC,EU_DMK_JUST_NAC,ES212,RO,1.43,1.43
2021,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.22,1.78
2018,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.24,1.76
2020,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.21,1.79
2014,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.21,1.79
2011,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.18,1.82
2024,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.27,1.73
2022,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.24,1.76
2023,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.25,1.75
2017,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.17,1.83
2013,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.2,1.8
2019,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.24,1.76
2012,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.19,1.81
2010,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.16,1.8399999999999999
2015,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.21,1.79
2016,SG_DMK_PSRVC,EU_DMK_FCSE,,RO,0.21,1.79
2024,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.25,1.75
2022,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.21,1.79
2023,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.23,1.77
2019,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.24,1.76
2016,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.19,1.81
2012,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.2,1.8
2011,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.18,1.82
2010,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.14,1.8599999999999999
2013,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.2,1.8
2020,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.2,1.8
2017,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.19,1.81
2015,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.19,1.81
2014,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.2,1.8
2018,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.25,1.75
2021,SG_DMK_PSRVC,EU_DMK_FCSE,ES211,RO,0.2,1.8
2010,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.15,1.85
2017,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.18,1.82
2012,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.18,1.82
2024,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.25,1.75
2023,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.24,1.76
2022,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.23,1.77
2020,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.2,1.8
2021,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.21,1.79
2019,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.23,1.77
2018,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.22,1.78
2016,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.19,1.81
2015,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.19,1.81
2014,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.18,1.82
2013,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.18,1.82
2011,SG_DMK_PSRVC,EU_DMK_FCSE,ES213,RO,0.16,1.8399999999999999
2023,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.28,1.72
2019,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.27,1.73
2020,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.24,1.76
2017,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.24,1.76
2015,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.24,1.76
2013,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.22,1.78
2011,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.2,1.8
2012,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.21,1.79
2014,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.23,1.77
2016,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.24,1.76
2018,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.26,1.74
2021,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.25,1.75
2024,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.3,1.7
2010,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.17,1.83
2022,SG_DMK_PSRVC,EU_DMK_FCSE,ES212,RO,0.27,1.73
2013,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.21,1.79
2018,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.2,1.8
2015,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.19,1.81
2019,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.19,1.81
2022,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.19,1.81
2010,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.27,1.73
2011,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.23,1.77
2014,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.21,1.79
2012,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.22,1.78
2023,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.2,1.8
2016,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.19,1.81
2021,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.2,1.8
2020,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.19,1.81
2017,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.21,1.79
2024,SG_DMK_PSRVC,EU_DMK_FA,,RO,0.2,1.8
2010,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.32,1.68
2015,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.21,1.79
2017,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.28,1.72
2018,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.27,1.73
2011,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.29,1.71
2023,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.33,1.67
2013,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.26,1.74
2022,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.3,1.7
2012,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.27,1.73
2021,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.31,1.69
2024,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.34,1.66
2020,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.28,1.72
2019,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.27,1.73
2016,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.23,1.77
2014,SG_DMK_PSRVC,EU_DMK_FA,ES211,RO,0.26,1.74
2016,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.18,1.82
2022,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.16,1.8399999999999999
2024,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.16,1.8399999999999999
2023,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.16,1.8399999999999999
2020,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.17,1.83
2019,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.16,1.8399999999999999
2018,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.16,1.8399999999999999
2017,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.18,1.82
2015,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.19,1.81
2014,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.2,1.8
2012,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.22,1.78
2011,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.21,1.79
2010,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.24,1.76
2013,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.22,1.78
2021,SG_DMK_PSRVC,EU_DMK_FA,ES213,RO,0.16,1.8399999999999999
2016,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.17,1.83
2014,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.15,1.85
2011,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.18,1.82
2010,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.23,1.77
2024,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.15,1.85
2018,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.19,1.81
2013,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.15,1.85
2012,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.16,1.8399999999999999
2023,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.15,1.85
2021,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.15,1.85
2019,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.17,1.83
2020,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.15,1.85
2017,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.18,1.82
2015,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.16,1.8399999999999999
2022,SG_DMK_PSRVC,EU_DMK_FA,ES212,RO,0.15,1.85
2024,SG_DMK_JDC,,,RO,1.25,1.25
2017,SG_DMK_JDC,,,RO,1.22,1.22
2020,SG_DMK_JDC,,,RO,1.24,1.24
2011,SG_DMK_JDC,,,RO,1.22,1.22
2018,SG_DMK_JDC,,,RO,1.21,1.21
2021,SG_DMK_JDC,,,RO,1.23,1.23
2015,SG_DMK_JDC,,,RO,1.24,1.24
2019,SG_DMK_JDC,,,RO,1.23,1.23
2016,SG_DMK_JDC,,,RO,1.2,1.2
2013,SG_DMK_JDC,,,RO,1.23,1.23
2022,SG_DMK_JDC,,,RO,1.2,1.2
2023,SG_DMK_JDC,,,RO,1.22,1.22
2012,SG_DMK_JDC,,,RO,1.17,1.17
2025,SG_DMK_JDC,,,RO,1.24,1.24
2014,SG_DMK_JDC,,,RO,1.23,1.23
2010,SG_DMK_JDC,,,RO,1.15,1.15
