Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value,Progress
2022,EU_XPD_LOCALGBPC,,,ES20008,PT,ES20008,84.75,115.25
2017,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,89.32,110.68
2016,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,94.81,105.19
2023,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,96.47,103.53
2019,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,96.31,103.69
2014,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,105.44,105.44
2013,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,93.78,106.22
2011,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,92.65,107.35
2012,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,92.66,107.34
2022,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,101.59,101.59
2021,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,92.45,107.55
2020,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,91.04,108.96
2015,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,91.69,108.31
2010,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,112.82,112.82
2018,EU_XPD_LOCALGBPC,,,ES48003,PT,ES48003,101.06,101.06
2010,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,88.93,111.07
2016,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,99.48,100.52
2022,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,68.53,131.47
2017,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,95.8,104.2
2023,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,69.96,130.04000000000002
2021,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,85.92,114.08
2013,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,93.23,106.77
2019,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,75.34,124.66
2014,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,83.76,116.24
2011,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,118.12,118.12
2020,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,106.37,106.37
2015,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,95.62,104.38
2018,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,79.53,120.47
2012,EU_XPD_LOCALGBPC,,,ES48004,PT,ES48004,97.44,102.56
2012,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,79.96,120.04
2021,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,91.41,108.59
2010,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,81.29,118.71
2023,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,63.43,136.57
2017,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,92.4,107.6
2019,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,77.55,122.45
2020,EU_XPD_LOCALGBPC,,,ES01002,PT,ES01002,78.62,121.38
